domicilio;caract_sitio;autores;f_e;tamaÑo_mts;ubicacion;tecnica;nombre_obra;lon;lat
Esmeralda y Rivadavia;Plaza Roberto Arlt;Alberto Cedrón;1971;;s/ muro Esmeralda;Técnica mixta;Escultura mural;;
Bolívar 1;      Palacio De Gobierno De La Ciudad;José María Carbonero;1910;2,40 x 4;Salón Blanco;Óleo S/ Tela;La Fundación de Buenos Aires;-58.374;-34.6082
Arroyo 1130;                   Embajada De Brasil;José Luis Sert y Badia;1932;6 x 12;Cielorraso Gran Hall;Marouflage (oleo Sobre Tela Pegado Al Cielorraso);Los equilibristas;-58.3835;-34.592
Arroyo 1130;                   Embajada De Brasil;José Luis Sert y Badia;1932;6,60 x 8,30;Sala De Música;Marouflage (oleo Sobre Tela Pegado Al Cielorraso);El agujero celeste;-58.3835;-34.592
Arroyo 1130;                   Embajada De Brasil;José Luis Sert y Badia;1932;5 x 7,20;Pequeño Comedor;Marouflage (oleo Sobre Tela Pegado Al Cielorraso);La tela de araña;-58.3835;-34.592
Arroyo 1130;                   Embajada De Brasil;José Luis Sert y Badia;1932;5,60 x 10,20;Gran Comedor;Marouflage (oleo Sobre Tela Pegado Al Cielorraso);El aseo de Don Quijote;-58.3835;-34.592
Arroyo 1130;                   Embajada De Brasil;José Luis Sert y Badia;1932;6,60 x 7,80;Salón Dorado;Marouflage (oleo Sobre Tela Pegado Al Cielorraso);Diana, la Cazadora;-58.3835;-34.592
Arroyo 1130;                   Embajada De Brasil;José Luis Sert y Badia;1932;6,60 x 7,80;Dormitorio ;Englomizer (pintura Sobre Espejo);Narciso en el espejo;-58.3835;-34.592
Sarmiento 980;                    Edificio Del Plata;Burnichon / Mele / Obarrio;;;Fachada;Mural Cerámico;Título desconocido;-58.3805;-34.6055
Sarmiento 1551;Centro Cultural San Martín;Julio Le Parc;1967;;Centro Cultural;Mural Madera, Chapa Y Acero Inoxidable;Desplazamientos;-58.3886;-34.6054
Libertad 641;Teatro Colón;Raúl Soldi;1966;320 m2;Cúpula;Oleo S/ Lienzo Aplicado;Alegoría a la música, al canto y al baile;-58.3839;-34.601
Libertad 641;Teatro Colón;Casa Félix Gaudín, París;1907;14m de dia{metro;Vestíbulo Principal;Vitraux Sombrilla Central;Sin título;-58.3839;-34.601
Rawson 106;Centro Cultural Impa;Baltazar Leiro;2002;;Fachada;Pintura Mural Con Texturas De Metal;Resistencia y lucha;-58.4259;-34.6117
Sarmiento 2233;Soc. Hebraica Argentina;Antonio Berni;1943;3 x 2;Escalera;Fresco;Las artes;-58.3986;-34.6057
Sarmiento 2233;Soc. Hebraica Argentina;Demetrio Urruchúa;1943;4 x 5;Oficina;Fresco;La cultura dignifica a los hombres y hermana a los pueblos;-58.3986;-34.6057
Sarmiento 2233;Soc. Hebraica Argentina;Juan Carlos Castagnino;1943;3.50 x 3.50;Bar;Fresco;La ofrenda de la nueva tierra;-58.3986;-34.6057
Sarmiento 2233;Soc. Hebraica Argentina;Juan Batlle Planas;1945;6 x 2;Hall;Mosaico Veneciano;Exodo;-58.3986;-34.6057
Sarmiento 2233;Soc. Hebraica Argentina;Juan Batlle Planas;1945;4 x 2;Hall;Mosaico Veneciano;El pueblo hebreo;-58.3986;-34.6057
Sarmiento 2233;Soc. Hebraica Argentina;Luis Seoane;1945;4 x 2;;Vitral;;-58.3986;-34.6057
San Martín 705;Santa Catalina De Siena;Eduardo Plá;1999;;Fachada;Gigantografía ;Santa Catalina de Siena ;-58.3741;-34.5997
Moreno 711;Inst.Univ J.Perón, Esc.Nac.Museología/otros;Matilde Grant;1980;;Fachada;Pintura Mural;Las palomas;-58.3765;-34.6115
Lavalle 669;Ex Cine Luxor;Máximo Maldonado / Miguel Ocampo;1944;2,50 x 6;;Fresco;Ornamentación;-58.3762;-34.602
Moreno 970;Estudios De Grabación Tnt;Rodolfo Julio Bardi;1968;;;Relieve En Cemento Patinado;Grabando;-58.38;-34.6121
Arroyo 810;Vivienda Multifamiliar ;Bernardo Bouts;1944;4,50 x 2 ;Hall;Fresco;Título desconocido;-58.3788;-34.5926
Cuba 2141;Vivienda Multifamiliar ;Luis Seoane;;;Hall;;Figuras;-58.4549;-34.5603
Moreno 376;Oficinas;Gustavo Van Treeck, Munich;1920;;Escalera ;Vitraux;Industria;-58.3715;-34.6114
Moreno 376;Oficinas;Gustavo Van Treeck, Munich;1920;;Escalera ;Vitraux;Agricultura;-58.3715;-34.6114
